"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi[1]",0.353823670768491,0.0645332302735001,0.232438423486585,0.30877666224737,0.352044396925104,0.394576022103921,0.488808265512746,1.00180048787053,1006,0,1
"phi[2]",0.992744763427932,0.0254152633104286,0.899543794953792,0.99997497289318,0.999999999713199,1,1,1.03995716356495,384,0,1
"phi[3]",0.777382245102207,0.0662239758208714,0.652717484433523,0.731899082105555,0.776817666832438,0.819649283527852,0.912950532203912,1.00738291575144,595,0,1
"phi[4]",0.90756272211122,0.0776229549897705,0.757549506886634,0.849809294021054,0.903218524096211,0.999801974137971,1,1.04446996299016,51,0,1
"phi[5]",0.752668487352098,0.0530823799973245,0.644962197322202,0.717803347851162,0.754414894665961,0.789494757612877,0.851387825727988,1.01326145093166,188,0,1
"phi[6]",0.885656285419842,0.0478777306746929,0.782215455897571,0.855023819130054,0.89129930743612,0.921636467965772,0.963297839102577,1.43307371154524,8,0,1
"phi[7]",0.990999874938745,0.0300632570885135,0.885557540081459,0.999995167701977,0.999999999999008,1,1,1.04266501671558,173,0,1
"phi[8]",0.628624167002283,0.0527834650505155,0.53260816298938,0.591931759845035,0.626469178655055,0.663665343707828,0.737278887958381,1.07991552099417,31,0,1
"phi[9]",0.7258068889462,0.128621231217119,0.546127403843362,0.629289297081545,0.696791572412691,0.792620773610342,0.999999959800844,1.7290784040862,6,0,1
"phi[10]",0.946056477331564,0.112721338705167,0.634437200439997,0.991236875049824,0.999999959296972,0.999999999999995,1,1.47011641293285,10,0,1
"phi[11]",0.652857934064568,0.0715132316719309,0.5352117610976,0.597319274385598,0.642748723923211,0.708916717954577,0.79240390003446,2.24171869851968,5,0,1
"phi[12]",0.991027592261958,0.0307411815071773,0.879399379732957,0.999952957626448,0.999999999951314,1,1,1.13297914215355,77,0,1
"phi[13]",0.855250182199556,0.119336448016335,0.658827810784442,0.752769733805599,0.837163183104082,0.999490490684578,0.999999999999997,1.92474157827862,5,0,1
